怦然心动,8.9,玛德琳·卡罗尔  卡兰·麦克奥利菲  瑞贝卡·德·莫妮  安东尼·爱德华兹  约翰·马奥尼,https://movie.douban.com/subject/3319755/
阿凡达,8.6,萨姆·沃辛顿  佐伊·索尔达娜  西格妮·韦弗  史蒂芬·朗  米歇尔·罗德里格兹,https://movie.douban.com/subject/1652587/
剪刀手爱德华,8.7,约翰尼·德普  薇诺娜·瑞德  黛安·韦斯特  安东尼·迈克尔·豪尔  凯西·贝克,https://movie.douban.com/subject/1292370/
七宗罪,8.7,摩根·弗里曼  布拉德·皮特  凯文·史派西  格温妮斯·帕特洛  安德鲁·凯文·沃克,https://movie.douban.com/subject/1292223/
V字仇杀队,8.8,娜塔莉·波特曼  雨果·维文  斯蒂芬·瑞  斯蒂芬·弗雷  约翰·赫特,https://movie.douban.com/subject/1309046/
本杰明·巴顿奇事,8.8,凯特·布兰切特  布拉德·皮特  朱莉娅·奥蒙德  芳妮·A·钱勃丝  伊莱亚斯·科泰斯,https://movie.douban.com/subject/1485260/
蝴蝶效应,8.7,阿什顿·库彻  梅罗拉·沃特斯  艾米·斯马特  埃尔登·汉森  威廉姆·李·斯科特,https://movie.douban.com/subject/1292343/
沉默的羔羊,8.7,朱迪·福斯特  安东尼·霍普金斯  斯科特·格伦  安东尼·希尔德  布鲁克·史密斯,https://movie.douban.com/subject/1293544/
西西里的美丽传说,8.8,莫妮卡·贝鲁奇  朱塞佩·苏尔法罗  埃丽萨·莫鲁奇,https://movie.douban.com/subject/1292402/
加勒比海盗,8.6,约翰尼·德普  杰弗里·拉什  奥兰多·布鲁姆  凯拉·奈特莉  杰克·达文波特,https://movie.douban.com/subject/1298070/
禁闭岛,8.7,莱昂纳多·迪卡普里奥  马克·鲁弗洛  本·金斯利  马克斯·冯·叙多夫  米歇尔·威廉姆斯,https://movie.douban.com/subject/2334904/
断背山,8.7,希斯·莱杰  杰克·吉伦哈尔  米歇尔·威廉姆斯  安妮·海瑟薇  凯特·玛拉,https://movie.douban.com/subject/1418834/
低俗小说,8.8,约翰·特拉沃尔塔  乌玛·瑟曼  阿曼达·普拉莫  蒂姆·罗斯  塞缪尔·杰克逊,https://movie.douban.com/subject/1291832/
闻香识女人,8.9,阿尔·帕西诺  克里斯·奥唐纳  詹姆斯·瑞布霍恩  加布里埃尔·安瓦尔  菲利普·塞默·霍夫曼,https://movie.douban.com/subject/1298624/
致命魔术,8.8,休·杰克曼  克里斯蒂安·贝尔  迈克尔·凯恩  丽贝卡·豪尔  斯嘉丽·约翰逊,https://movie.douban.com/subject/1780330/
消失的爱人,8.7,本·阿弗莱克  裴淳华  尼尔·帕特里克·哈里斯  凯莉·库恩  泰勒·派瑞,https://movie.douban.com/subject/21318488/
头号玩家,8.7,泰伊·谢里丹   奥利维亚·库克  本·门德尔森  马克·里朗斯  丽娜·维特,https://movie.douban.com/subject/4920389/
指环王1：魔戒再现,8.9,伊莱贾·伍德  西恩·奥斯汀  伊恩·麦克莱恩  维果·莫腾森  奥兰多·布鲁姆,https://movie.douban.com/subject/1291571/
致命ID,8.7,约翰·库萨克  雷·利奥塔  阿曼达·皮特  阿尔弗雷德·莫里纳  克里·杜瓦尔,https://movie.douban.com/subject/1297192/
黑客帝国,8.8,基努·里维斯  凯瑞-安·莫斯  劳伦斯·菲什伯恩  雨果·维文  格洛丽亚·福斯特,https://movie.douban.com/subject/1291843/
布达佩斯大饭店,8.8,拉尔夫·费因斯  托尼·雷沃罗利  艾德里安·布洛迪  威廉·达福  裘德·洛,https://movie.douban.com/subject/11525673/
蝙蝠侠：黑暗骑士崛起,8.6,克里斯蒂安·贝尔  汤姆·哈迪  安妮·海瑟薇  约瑟夫·高登-莱维特  玛丽昂·歌迪亚,https://movie.douban.com/subject/3395373/
哈利·波特与魔法石,8.7,丹尼尔·雷德克里夫  艾玛·沃森  鲁伯特·格林特  艾伦·瑞克曼  玛吉·史密斯,https://movie.douban.com/subject/1295038/
哈利·波特与死亡圣器(下),8.7,丹尼尔·雷德克里夫  艾玛·沃森  鲁伯特·格林特  海伦娜·伯翰·卡特  拉尔夫·费因斯,https://movie.douban.com/subject/3011235/
拯救大兵瑞恩,8.9,汤姆·汉克斯  汤姆·塞兹摩尔  爱德华·伯恩斯  巴里·佩珀  亚当·戈德堡,https://movie.douban.com/subject/1292849/
大鱼,8.7,伊万·麦克格雷格  阿尔伯特·芬尼  比利·克鲁德普  杰西卡·兰格  海伦娜·伯翰·卡特,https://movie.douban.com/subject/1291545/
第六感,8.8,布鲁斯·威利斯  海利·乔·奥斯蒙  托妮·科莱特  奥莉维亚·威廉姆斯  唐尼·沃尔伯格,https://movie.douban.com/subject/1297630/
幸福终点站,8.7,汤姆·汉克斯  凯瑟琳·泽塔-琼斯  斯坦利·图齐  齐·麦克布赖德  迭戈·卢纳,https://movie.douban.com/subject/1292274/
爱在黎明破晓前,8.7,伊桑·霍克  朱莉·德尔佩  安德莉亚·埃克特  汉诺·波西尔,https://movie.douban.com/subject/1296339/
爱在日落黄昏时,8.7,伊桑·霍克  朱莉·德尔佩  弗农·多布切夫,https://movie.douban.com/subject/1291990/
人工智能,8.6,海利·乔·奥斯蒙  弗兰西丝·奥康纳  山姆·洛巴兹  杰克·托马斯  裘德·洛,https://movie.douban.com/subject/1302827/
谍影重重3,8.7,马特·达蒙  朱丽娅·斯蒂尔斯  大卫·斯特雷泽恩  斯科特·格伦  帕迪·康斯戴恩,https://movie.douban.com/subject/1578507/
战争之王,8.6,尼古拉斯·凯奇  布丽姬·穆娜  杰瑞德·莱托  伊安·霍姆  伊桑·霍克,https://movie.douban.com/subject/1419936/
撞车,8.6,桑德拉·布洛克  唐·钱德尔  马特·狄龙  布兰登·费舍  泰伦斯·霍华德,https://movie.douban.com/subject/1388216/
超脱,8.8,艾德里安·布洛迪  马西娅·盖伊·哈登  詹姆斯·肯恩  克里斯蒂娜·亨德里克斯  刘玉玲,https://movie.douban.com/subject/5322596/
海边的曼彻斯特,8.6,卡西·阿弗莱克  卢卡斯·赫奇斯  米歇尔·威廉姆斯  C·J·威尔逊  凯尔·钱德勒,https://movie.douban.com/subject/25980443/
终结者2：审判日,8.6,阿诺·施瓦辛格  琳达·汉密尔顿  爱德华·福隆  罗伯特·帕特里克  阿尔·伯恩,https://movie.douban.com/subject/1291844/
燃情岁月,8.7,安东尼·霍普金斯  布拉德·皮特  朱莉娅·奥蒙德  艾丹·奎因  卡琳娜·隆巴德,https://movie.douban.com/subject/1295865/
请以你的名字呼唤我,8.8,蒂莫西·柴勒梅德  艾米·汉莫  迈克尔·斯图巴  阿蜜拉·卡萨  艾斯特·加瑞尔,https://movie.douban.com/subject/26799731/
穿条纹睡衣的男孩,8.9,阿萨·巴特菲尔德  维拉·法米加  大卫·休里斯  杰克·塞隆  鲁伯特·弗兰德,https://movie.douban.com/subject/3008247/
喜宴,8.8,赵文瑄  郎雄  归亚蕾  金素梅  米切尔·利希藤斯坦,https://movie.douban.com/subject/1303037/
教父3,8.8,阿尔·帕西诺  黛安·基顿  塔莉娅·夏尔  安迪·加西亚  埃里·瓦拉赫,https://movie.douban.com/subject/1294240/
房间,8.8,布丽·拉尔森  雅各布·特伦布莱  琼·艾伦  肖恩·布里吉格斯  威廉姆·H·梅西,https://movie.douban.com/subject/25724855/
三块广告牌,8.7,弗兰西斯·麦克多蒙德  伍迪·哈里森  山姆·洛克威尔  艾比·考尼什  卢卡斯·赫奇斯,https://movie.douban.com/subject/26611804/
卢旺达饭店,8.9,唐·钱德尔  苏菲·奥康内多  杰昆·菲尼克斯  尼克·诺特  哈基姆·凯-卡西姆,https://movie.douban.com/subject/1291822/
非常嫌疑犯,8.6,史蒂芬·鲍德温  加布里埃尔·伯恩  本尼西奥·德尔·托罗  凯文·波拉克  凯文·史派西,https://movie.douban.com/subject/1292214/
梦之安魂曲,8.7,艾伦·伯斯汀  杰瑞德·莱托  詹妮弗·康纳利  马龙·韦恩斯  克里斯托弗·麦克唐纳,https://movie.douban.com/subject/1292270/
爱在午夜降临前,8.8,伊桑·霍克  朱莉·德尔佩  肖姆斯·戴维-菲茨帕特里克  詹妮弗·普里尔  夏洛特·普里尔,https://movie.douban.com/subject/10808442/
奇迹男孩,8.6,雅各布·特伦布莱  朱莉娅·罗伯茨  伊扎贝拉·维多维奇  欧文·威尔逊  诺亚·尤佩,https://movie.douban.com/subject/26787574/
末路狂花,8.7,吉娜·戴维斯  苏珊·萨兰登  哈威·凯特尔  迈克尔·马德森  布拉德·皮特,https://movie.douban.com/subject/1291992/
绿里奇迹,8.7,汤姆·汉克斯  大卫·摩斯  迈克·克拉克·邓肯  邦尼·亨特  詹姆斯·克伦威尔,https://movie.douban.com/subject/1300374/
我是山姆,8.8,西恩·潘  达科塔·范宁  米歇尔·菲佛  黛安·韦斯特  洛雷塔·迪瓦恩,https://movie.douban.com/subject/1306861/
廊桥遗梦,8.6,克林特·伊斯特伍德  梅丽尔·斯特里普  安妮·科利  维克多·斯勒扎克  吉姆·海尼,https://movie.douban.com/subject/1293929/
大卫·戈尔的一生,8.6,凯文·史派西  凯特·温丝莱特  劳拉·琳妮  加布里埃尔·曼  梅丽莎·麦卡西,https://movie.douban.com/subject/1305725/
千钧一发,8.7,伊桑·霍克  乌玛·瑟曼  裘德·洛  艾伦·阿金  戈尔·维达尔,https://movie.douban.com/subject/1300117/
不一样的天空,8.6,约翰尼·德普  莱昂纳多·迪卡普里奥  朱丽叶特·刘易斯  玛丽·斯汀伯根  达尔莱尼·凯茨,https://movie.douban.com/subject/1301617/
洛城机密,8.7,凯文·史派西  罗素·克劳  盖·皮尔斯  詹姆斯·克伦威尔  金·贝辛格,https://movie.douban.com/subject/1292348/
费城故事,8.6,汤姆·汉克斯  丹泽尔·华盛顿  安东尼奥·班德拉斯  乔安娜·伍德沃德  罗伯塔·马克斯韦尔,https://movie.douban.com/subject/1293145/
与狼共舞,8.9,凯文·科斯特纳  玛丽·麦克唐纳  格雷厄姆·格林,https://movie.douban.com/subject/1293764/
天伦之旅,8.6,罗伯特·德尼罗  凯特·贝金赛尔  山姆·洛克威尔  德鲁·巴里摩尔  凯瑟琳·莫宁,https://movie.douban.com/subject/3041749/
相助,8.8,艾玛·斯通  维奥拉·戴维斯  布莱丝·达拉斯·霍华德  奥克塔维亚·斯宾瑟  杰西卡·查斯坦,https://movie.douban.com/subject/3792848/
南极大冒险,8.6,保罗·沃克  布鲁斯·格林伍德  穆恩·布拉得古德  温迪·古逊  贾森·比格斯,https://movie.douban.com/subject/1477448/
坠入,8.8,凯婷卡·安塔鲁  贾斯蒂恩·瓦戴尔  李·佩斯  Kim Uylenbroek  Aiden Lithgow,https://movie.douban.com/subject/1890572/
老爷车,8.6,克林特·伊斯特伍德  克里斯托弗·卡利  比·王  安蕾·荷  布莱恩·黑利,https://movie.douban.com/subject/3026357/
斯隆女士,8.7,杰西卡·查斯坦  古古·姆巴塔-劳  约翰·利思戈  艾丽森·皮尔  迈克尔·斯图巴,https://movie.douban.com/subject/26703158/
内布拉斯加,8.6,布鲁斯·邓恩  威尔·福特  琼·斯奎布  鲍勃·奥登科克  斯泰西·基齐,https://movie.douban.com/subject/6538833/
面子,8.6,陈冲  杨雅慧  陈凌  王进,https://movie.douban.com/subject/1421278/
梦,8.6,笠智众  寺尾聪  原田美枝子  倍赏美津子  小野真理惠,https://movie.douban.com/subject/1299112/
情枭的黎明,8.6,阿尔·帕西诺  西恩·潘  佩内洛普·安·米勒  约翰·雷吉扎莫  维果·莫腾森,https://movie.douban.com/subject/1292646/
亚当斯一家的价值观,8.6,克里斯汀·芭伦斯基,https://movie.douban.com/subject/1299900/
小公主,8.6,利塞尔·马修斯,https://movie.douban.com/subject/1293993/
伴你高飞,8.8,安娜·帕奎因  杰夫·丹尼尔斯  达娜·德拉尼  特里·金尼  霍尔特·格拉汉姆,https://movie.douban.com/subject/1292642/
亨利四世：第一部分,8.6,杰瑞米·艾恩斯  汤姆·希德勒斯顿  西蒙·拉塞尔·比尔  艾伦·阿姆斯特朗  米歇尔·道克瑞,https://movie.douban.com/subject/10441064/
铁达尼号沉没记,8.7,彼得·盖勒  凯瑟琳·泽塔-琼斯  乔治·C·斯科特  爱娃·玛丽·森特  蒂姆·克里,https://movie.douban.com/subject/1296542/
十二怒汉,8.8,杰克·莱蒙  乔治·C·斯科特  休姆·克罗宁,https://movie.douban.com/subject/1293989/
热泪伤痕,8.5,凯西·贝茨  克里斯托弗·普卢默  大卫·斯特雷泽恩  詹妮弗·杰森·李  朱迪·帕瑞福特,https://movie.douban.com/subject/1293046/
一级谋杀,8.6,克里斯蒂安·史莱特  凯文·贝肯  加里·奥德曼  艾伯丝·戴维兹  威廉姆·H·梅西,https://movie.douban.com/subject/1293373/
布朗克斯的故事,8.6,罗伯特·德尼罗  查兹·帕尔明特瑞  李洛·布兰卡托  弗朗西斯·卡普拉  泰罗尔·希克斯,https://movie.douban.com/subject/1295070/
黄阿丽：小眼镜蛇,8.7,黄阿丽,https://movie.douban.com/subject/26772763/
天伦之旅,8.7,马塞洛·马斯楚安尼  米歇尔·摩根  瓦莱里亚·卡瓦利  Marino Cenna  罗伯托·诺毕雷,https://movie.douban.com/subject/1292995/
黑骏马,8.6,艾伦·卡明  肖恩·宾  大卫·休里斯  吉姆·卡特  彼得·戴维森,https://movie.douban.com/subject/1293266/
迷失：过去，现在与未来,8.8,迈克尔·爱默生,https://movie.douban.com/subject/2977973/
抛开自我空间,8.8,艾玛·汤普森  克里斯托弗·洛伊德  艾琳·阿特金斯  奥德拉·麦克唐纳  乔纳森·M·伍德沃德,https://movie.douban.com/subject/1305863/
看狗在说话,8.7,迈克尔·J·福克斯  莎莉·菲尔德  唐·阿米契  金·格雷斯特  Ed Bernard,https://movie.douban.com/subject/1294998/
迷失 特别篇 最终旅途,8.8,Matthew Fox  Evangeline Lilly  Jorge Garcia  Josh Holloway  Daniel Dae Kim,https://movie.douban.com/subject/10430332/
断魂枪声,8.7,本·福斯特  汤姆·卡瓦纳夫  兰迪·哈里森,https://movie.douban.com/subject/1307135/
荒野、黄金、大镖客,8.7,艾米利奥·艾斯特维兹  威廉·弗西斯  乔昆姆·德·阿尔梅达,https://movie.douban.com/subject/1297379/
路易·C·K：老招笑了,8.6,路易·C·K,https://movie.douban.com/subject/5170652/
华盛顿城堡的圣徒,8.8,丹尼·格洛弗  马特·狄龙  瑞克阿维莱斯,https://movie.douban.com/subject/1306085/
周六夜现场：吉米·法伦/迈克尔·布雷,8.7,吉米·法伦  迈克尔·布雷,https://movie.douban.com/subject/6880501/
周六夜现场：娜塔莉·波特曼/Fall Out Boy,8.7,娜塔莉·波特曼  蒂娜·菲  塞斯·梅耶斯  艾米·波勒,https://movie.douban.com/subject/3396499/
奇迹的缔造者,8.5,卢卡斯·布莱克  海莉·凯特·爱森伯格,https://movie.douban.com/subject/1305948/
戒指,8.6,娜塔莎·金斯基  麦克尔·约克  鲁伯特·彭利-琼斯,https://movie.douban.com/subject/1767604/
友情天地,8.6,Kate Maberly  Jonathan Hernandez  Marcia Dangerfield,https://movie.douban.com/subject/1439921/
迷失：命运的召唤,8.6,Damon Lindelof  Carlton Cuse,https://movie.douban.com/subject/5174873/
权力的游戏：非赢即死,8.7,戴维·贝尼奥夫  艾米莉亚·克拉克  尼古拉·科斯特-瓦尔道  彼特·丁拉基  基特·哈灵顿,https://movie.douban.com/subject/25828143/
故乡的天空,8.6,朱丽叶特·刘易斯  Kelsey Keel  雪莉·奈特  Amelia Campbell  克里斯·欧文斯,https://movie.douban.com/subject/1298766/
周六夜现场,8.9,克里斯汀·斯图尔特,https://movie.douban.com/subject/26965031/
杰斯尼克：我思我祷,8.5,安东尼·杰塞尔尼克,https://movie.douban.com/subject/26581719/
经度,8.7,乔纳森·考尔  杰瑞米·艾恩斯  Peter Cartwright  迈克尔·刚本,https://movie.douban.com/subject/1858531/
怒焰狂花,8.6,梅尔·哈里斯  德怀特·舒尔茨  艾什丽·佩顿  罗莎娜·德索托  Sam Gifaldi,https://movie.douban.com/subject/1295489/
迈阿密纹身师 第一季,8.8,Johnny Messner  Michele Lepe ...  Received Tatoo  Katherine von Drachenberg,https://movie.douban.com/subject/2046024/
新党,8.5,杰瑞米·雷纳  加布里埃尔·尤尼恩,https://movie.douban.com/subject/3066271/
特警4587,8.8,肯·沃尔  戴布拉·费伦蒂诺  泰德·拉文,https://movie.douban.com/subject/1432955/
星际旅行：囚笼(试播集),8.7,伦纳德·尼莫伊,https://movie.douban.com/subject/4314597/
戴夫·查普尔：淡定,8.7,Dave Chappelle,https://movie.douban.com/subject/27618987/
Dave Chappelle: The Bird Revelation,8.7,大卫·查普尔,https://movie.douban.com/subject/27619071/
只是一个梦,8.7,卡尔·卢波利  罗比·本森  艾丽·西蒂  罗德尼·格兰特  杰瑞米·桑普特,https://movie.douban.com/subject/3224324/
